system:index,ID,kommune,.geo
4011,900029.0,Hol,"{""type"":""MultiPoint"",""coordinates"":[]}"
4025,885903.0,Skjåk,"{""type"":""MultiPoint"",""coordinates"":[]}"
4027,969514.0,Kautokeino,"{""type"":""MultiPoint"",""coordinates"":[]}"
4032,517697.0,Ullensvang,"{""type"":""MultiPoint"",""coordinates"":[]}"
4034,548824.0,Ullensvang,"{""type"":""MultiPoint"",""coordinates"":[]}"
4049,210838.0,Vadsø,"{""type"":""MultiPoint"",""coordinates"":[]}"
4056,803510.0,Lierne,"{""type"":""MultiPoint"",""coordinates"":[]}"
4064,602251.0,Bindal,"{""type"":""MultiPoint"",""coordinates"":[]}"
4071,870010.0,Tromsø,"{""type"":""MultiPoint"",""coordinates"":[]}"
4072,126764.0,Valle,"{""type"":""MultiPoint"",""coordinates"":[]}"
4082,467459.0,Narvik,"{""type"":""MultiPoint"",""coordinates"":[]}"
4084,83091.0,Båtsfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
4093,236661.0,Lærdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
4100,284400.0,Kvænangen,"{""type"":""MultiPoint"",""coordinates"":[]}"
4151,433265.0,Kvænangen,"{""type"":""MultiPoint"",""coordinates"":[]}"
4184,812946.0,Eidfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
4218,982440.0,Narvik,"{""type"":""MultiPoint"",""coordinates"":[]}"
4227,871157.0,Vadsø,"{""type"":""MultiPoint"",""coordinates"":[]}"
4235,849203.0,Beiarn,"{""type"":""MultiPoint"",""coordinates"":[]}"
4240,396138.0,Tana,"{""type"":""MultiPoint"",""coordinates"":[]}"
4282,678983.0,Berlevåg,"{""type"":""MultiPoint"",""coordinates"":[]}"
4284,772980.0,Fjaler,"{""type"":""MultiPoint"",""coordinates"":[]}"
4306,356911.0,Karasjok,"{""type"":""MultiPoint"",""coordinates"":[]}"
4309,277759.0,Lesja,"{""type"":""MultiPoint"",""coordinates"":[]}"
4328,25410.0,Kvam,"{""type"":""MultiPoint"",""coordinates"":[]}"
4346,523582.0,Grane,"{""type"":""MultiPoint"",""coordinates"":[]}"
4364,22918.0,Tana,"{""type"":""MultiPoint"",""coordinates"":[]}"
4388,305175.0,Meråker,"{""type"":""MultiPoint"",""coordinates"":[]}"
4389,515889.0,Snåsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
4428,583596.0,Kautokeino,"{""type"":""MultiPoint"",""coordinates"":[]}"
4452,944008.0,Sørfold,"{""type"":""MultiPoint"",""coordinates"":[]}"
4454,531022.0,Sør-Varanger,"{""type"":""MultiPoint"",""coordinates"":[]}"
4458,934385.0,Berlevåg,"{""type"":""MultiPoint"",""coordinates"":[]}"
4512,165290.0,Folldal,"{""type"":""MultiPoint"",""coordinates"":[]}"
4545,557268.0,Nordreisa,"{""type"":""MultiPoint"",""coordinates"":[]}"
4548,675451.0,Tjeldsund,"{""type"":""MultiPoint"",""coordinates"":[]}"
4581,722859.0,Hemsedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
4582,731068.0,Gloppen,"{""type"":""MultiPoint"",""coordinates"":[]}"
4606,19498.0,Vågå,"{""type"":""MultiPoint"",""coordinates"":[]}"
4625,59773.0,Tinn,"{""type"":""MultiPoint"",""coordinates"":[]}"
4647,982799.0,Kautokeino,"{""type"":""MultiPoint"",""coordinates"":[]}"
4652,881915.0,Nordreisa,"{""type"":""MultiPoint"",""coordinates"":[]}"
4653,971132.0,Holtålen,"{""type"":""MultiPoint"",""coordinates"":[]}"
4671,372220.0,Skjåk,"{""type"":""MultiPoint"",""coordinates"":[]}"
4679,290580.0,Hamarøy,"{""type"":""MultiPoint"",""coordinates"":[]}"
4696,608681.0,Hol,"{""type"":""MultiPoint"",""coordinates"":[]}"
4700,249926.0,Berlevåg,"{""type"":""MultiPoint"",""coordinates"":[]}"
4702,333544.0,Molde,"{""type"":""MultiPoint"",""coordinates"":[]}"
4720,542497.0,Lødingen,"{""type"":""MultiPoint"",""coordinates"":[]}"
4737,479615.0,Ullensvang,"{""type"":""MultiPoint"",""coordinates"":[]}"
4743,63328.0,Narvik,"{""type"":""MultiPoint"",""coordinates"":[]}"
4760,563344.0,Dovre,"{""type"":""MultiPoint"",""coordinates"":[]}"
4781,11715.0,Stjørdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
4857,312757.0,Ullensvang,"{""type"":""MultiPoint"",""coordinates"":[]}"
4892,144662.0,Grane,"{""type"":""MultiPoint"",""coordinates"":[]}"
4962,272488.0,Dovre,"{""type"":""MultiPoint"",""coordinates"":[]}"
4978,161089.0,Verdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
5002,991871.0,Kvænangen,"{""type"":""MultiPoint"",""coordinates"":[]}"
5010,118220.0,Snåsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
5033,370348.0,Rana,"{""type"":""MultiPoint"",""coordinates"":[]}"
5042,339416.0,Skjervøy,"{""type"":""MultiPoint"",""coordinates"":[]}"
5091,543027.0,Sauda,"{""type"":""MultiPoint"",""coordinates"":[]}"
5105,358851.0,Balsfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
5113,39062.0,Porsanger,"{""type"":""MultiPoint"",""coordinates"":[]}"
5121,982729.0,Nore og Uvdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
5149,753607.0,Holtålen,"{""type"":""MultiPoint"",""coordinates"":[]}"
5154,691749.0,Sunndal,"{""type"":""MultiPoint"",""coordinates"":[]}"
5163,33962.0,Hattfjelldal,"{""type"":""MultiPoint"",""coordinates"":[]}"
5167,710345.0,Båtsfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
5171,593854.0,Sunndal,"{""type"":""MultiPoint"",""coordinates"":[]}"
5177,414601.0,Årdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
5182,643285.0,Skjåk,"{""type"":""MultiPoint"",""coordinates"":[]}"
5183,650721.0,Vågå,"{""type"":""MultiPoint"",""coordinates"":[]}"
5221,574853.0,Tynset,"{""type"":""MultiPoint"",""coordinates"":[]}"
5235,692486.0,Hammerfest,"{""type"":""MultiPoint"",""coordinates"":[]}"
5252,741024.0,Andøy,"{""type"":""MultiPoint"",""coordinates"":[]}"
5266,630214.0,Kautokeino,"{""type"":""MultiPoint"",""coordinates"":[]}"
