"","reg","val","year"
"901","C",1,2020
"902","C",1,2020
"903","C",0.988235294117647,2020
"904","C",1,2020
"905","C",1,2020
"906","C",1,2020
"907","C",1,2020
"908","C",1,2020
"909","C",1,2020
"910","C",1,2020
"911","C",1,2020
"912","C",1,2020
"913","C",1,2020
"914","C",1,2020
"915","C",1,2020
"916","C",0.988235294117647,2020
"917","C",1,2020
"918","C",1,2020
"919","C",1,2020
"920","C",1,2020
"921","C",1,2020
"922","C",1,2020
"923","C",1,2020
"924","C",0.988235294117647,2020
"925","C",1,2020
"926","C",1,2020
"927","C",1,2020
"928","C",1,2020
"929","C",1,2020
"930","C",0.988235294117647,2020
"931","C",1,2020
"932","C",1,2020
"933","C",1,2020
"934","C",1,2020
"935","C",1,2020
"936","C",1,2020
"937","C",1,2020
"938","C",1,2020
"939","C",1,2020
"940","C",1,2020
"941","C",1,2020
"942","C",1,2020
"943","C",1,2020
"944","C",1,2020
"945","C",1,2020
"946","C",1,2020
"947","C",1,2020
"948","C",1,2020
"949","C",1,2020
"950","C",1,2020
"951","C",0.988235294117647,2020
"952","C",1,2020
"953","C",1,2020
"954","C",1,2020
"955","C",1,2020
"956","C",1,2020
"957","C",1,2020
"958","C",1,2020
"959","C",1,2020
"960","C",1,2020
"961","C",1,2020
"962","C",1,2020
"963","C",1,2020
"964","C",1,2020
"965","C",1,2020
"966","C",1,2020
"967","C",1,2020
"968","C",1,2020
"969","C",1,2020
"970","C",1,2020
"971","C",1,2020
"972","C",1,2020
"973","C",1,2020
"974","C",1,2020
"975","C",1,2020
"976","C",1,2020
"977","C",1,2020
"978","C",1,2020
"979","C",0.988235294117647,2020
"980","C",1,2020
"981","C",1,2020
"982","C",1,2020
"983","C",1,2020
"984","C",1,2020
"985","C",1,2020
"986","C",1,2020
"987","C",1,2020
"988","C",1,2020
"989","C",1,2020
"990","C",1,2020
"991","C",0.988235294117647,2020
"992","C",1,2020
"993","C",1,2020
"994","C",1,2020
"995","C",1,2020
"996","C",1,2020
"997","C",1,2020
"998","C",1,2020
"999","C",0.988235294117647,2020
"1000","C",1,2020
"1001","C",0.988235294117647,2020
"1002","C",1,2020
"1003","C",1,2020
"1004","C",1,2020
"1005","C",1,2020
"1006","C",1,2020
"1007","C",1,2020
"1008","C",1,2020
"1009","C",1,2020
"1010","C",0.976470588235294,2020
"1011","C",1,2020
"1012","C",1,2020
"1013","C",1,2020
"1014","C",1,2020
"1015","C",1,2020
"1016","C",1,2020
"1017","C",1,2020
"1018","C",1,2020
"1019","C",1,2020
"1020","C",1,2020
"1021","C",1,2020
"1022","C",0.988235294117647,2020
"1023","C",0.988235294117647,2020
"1024","C",1,2020
"1025","C",1,2020
"1026","C",1,2020
"1027","C",1,2020
"1028","C",1,2020
"1029","C",1,2020
"1030","C",1,2020
"1031","C",1,2020
"1032","C",1,2020
"1033","C",1,2020
"1034","C",1,2020
"1035","C",1,2020
"1036","C",1,2020
"1037","C",1,2020
"1038","C",0.988235294117647,2020
"1039","C",1,2020
"1040","C",1,2020
"1041","C",1,2020
"1042","C",1,2020
"1043","C",1,2020
"1044","C",0.988235294117647,2020
"1045","C",1,2020
"1046","C",1,2020
"1047","C",0.988235294117647,2020
"1048","C",1,2020
"1049","C",1,2020
"1050","C",1,2020
"1051","C",1,2020
"1052","C",1,2020
"1053","C",1,2020
"1054","C",1,2020
"1055","C",1,2020
"1056","C",1,2020
"1057","C",1,2020
"1058","C",1,2020
"1059","C",1,2020
"1060","C",1,2020
"1061","C",1,2020
"1062","C",1,2020
"1063","C",1,2020
"1064","C",0.988235294117647,2020
"1065","C",1,2020
"1066","C",0.988235294117647,2020
"1067","C",1,2020
"1068","C",1,2020
"1069","C",1,2020
"1070","C",1,2020
"1071","C",1,2020
"1072","C",0.988235294117647,2020
"1073","C",1,2020
"1074","C",1,2020
"1075","C",1,2020
"1076","C",1,2020
"1077","C",1,2020
"1078","C",1,2020
"1079","C",0.988235294117647,2020
"1080","C",1,2020
"1081","C",1,2020
"1082","C",1,2020
"1083","C",1,2020
"1084","C",1,2020
"1085","C",0.988235294117647,2020
"1086","C",1,2020
"1087","C",1,2020
"1088","C",1,2020
"1089","C",1,2020
"1090","C",1,2020
"1091","C",1,2020
"1092","C",1,2020
"1093","C",1,2020
"1094","C",1,2020
"1095","C",1,2020
"1096","C",1,2020
"1097","C",0.988235294117647,2020
"1098","C",1,2020
"1099","C",1,2020
"1100","C",1,2020
"1101","C",1,2020
"1102","C",1,2020
"1103","C",1,2020
"1104","C",1,2020
"1105","C",1,2020
"1106","C",1,2020
"1107","C",1,2020
"1108","C",1,2020
"1109","C",1,2020
"1110","C",1,2020
"1111","C",1,2020
"1112","C",1,2020
"1113","C",1,2020
"1114","C",1,2020
"1115","C",1,2020
"1116","C",1,2020
"1117","C",1,2020
"1118","C",1,2020
"1119","C",0.988235294117647,2020
"1120","C",0.988235294117647,2020
"1121","C",1,2020
"1122","C",1,2020
"1123","C",1,2020
"1124","C",0.988235294117647,2020
"1125","C",1,2020
"1126","C",0.988235294117647,2020
"1127","C",1,2020
"1128","C",1,2020
"1129","C",1,2020
"1130","C",1,2020
"1131","C",1,2020
"1132","C",1,2020
"1133","C",0.988235294117647,2020
"1134","C",1,2020
"1135","C",1,2020
"1136","C",0.988235294117647,2020
"1137","C",1,2020
"1138","C",1,2020
"1139","C",1,2020
"1140","C",1,2020
"1141","C",1,2020
"1142","C",1,2020
"1143","C",1,2020
"1144","C",0.988235294117647,2020
"1145","C",1,2020
"1146","C",1,2020
"1147","C",1,2020
"1148","C",1,2020
"1149","C",1,2020
"1150","C",1,2020
"1151","C",1,2020
"1152","C",1,2020
"1153","C",1,2020
"1154","C",1,2020
"1155","C",1,2020
"1156","C",1,2020
"1157","C",1,2020
"1158","C",1,2020
"1159","C",1,2020
"1160","C",1,2020
"1161","C",1,2020
"1162","C",1,2020
"1163","C",1,2020
"1164","C",1,2020
"1165","C",1,2020
"1166","C",1,2020
"1167","C",1,2020
"1168","C",1,2020
"1169","C",1,2020
"1170","C",1,2020
"1171","C",1,2020
"1172","C",1,2020
"1173","C",1,2020
"1174","C",1,2020
"1175","C",1,2020
"1176","C",1,2020
"1177","C",1,2020
"1178","C",1,2020
"1179","C",1,2020
"1180","C",1,2020
"1181","C",1,2020
"1182","C",0.988235294117647,2020
"1183","C",1,2020
"1184","C",1,2020
"1185","C",1,2020
"1186","C",1,2020
"1187","C",1,2020
"1188","C",0.976470588235294,2020
"1189","C",1,2020
"1190","C",0.988235294117647,2020
"1191","C",1,2020
"1192","C",1,2020
"1193","C",1,2020
"1194","C",1,2020
"1195","C",1,2020
"1196","C",1,2020
"1197","C",1,2020
"1198","C",1,2020
"1199","C",1,2020
"1200","C",1,2020
"1201","C",1,2020
"1202","C",1,2020
"1203","C",1,2020
"1204","C",1,2020
"1205","C",1,2020
"1206","C",1,2020
"1207","C",1,2020
"1208","C",1,2020
"1209","C",1,2020
"1210","C",1,2020
"1211","C",1,2020
"1212","C",1,2020
"1213","C",1,2020
"1214","C",1,2020
"1215","C",1,2020
"1216","C",0.988235294117647,2020
"1217","C",1,2020
"1218","C",1,2020
"1219","C",1,2020
"1220","C",1,2020
"1221","C",1,2020
"1222","C",1,2020
"1223","C",1,2020
"1224","C",1,2020
"1225","C",1,2020
"1226","C",1,2020
"1227","C",1,2020
"1228","C",1,2020
"1229","C",1,2020
"1230","C",1,2020
"1231","C",1,2020
"1232","C",1,2020
"1233","C",0.988235294117647,2020
"1234","C",1,2020
"1235","C",1,2020
"1236","C",1,2020
"1237","C",1,2020
"1238","C",1,2020
"1239","C",1,2020
"1240","C",1,2020
"1241","C",1,2020
"1242","C",1,2020
"1243","C",1,2020
"1244","C",1,2020
"1245","C",1,2020
"1246","C",1,2020
"1247","C",1,2020
"1248","C",1,2020
"1249","C",0.988235294117647,2020
"1250","C",1,2020
"1251","C",1,2020
"1252","C",1,2020
"1253","C",0.988235294117647,2020
"1254","C",1,2020
"1255","C",1,2020
"1256","C",1,2020
"1257","C",1,2020
"1258","C",1,2020
"1259","C",1,2020
"1260","C",0.988235294117647,2020
"1261","C",1,2020
"1262","C",1,2020
"1263","C",1,2020
"1264","C",1,2020
"1265","C",0.988235294117647,2020
"1266","C",1,2020
"1267","C",1,2020
"1268","C",1,2020
"1269","C",1,2020
"1270","C",1,2020
"1271","C",1,2020
"1272","C",1,2020
"1273","C",1,2020
"1274","C",0.988235294117647,2020
"1275","C",1,2020
"1276","C",1,2020
"1277","C",1,2020
"1278","C",1,2020
"1279","C",1,2020
"1280","C",1,2020
"1281","C",1,2020
"1282","C",1,2020
"1283","C",1,2020
"1284","C",1,2020
"1285","C",1,2020
"1286","C",1,2020
"1287","C",1,2020
"1288","C",1,2020
"1289","C",1,2020
"1290","C",1,2020
"1291","C",1,2020
