ord;species;L;F;R;N;S;HM;T;K;TRU
P;Calamagrostis phragmitoides;7;8;6;3;0;NA;NA;NA;NA
P;Calamagrostis scotica;8;8;6;4;0;NA;NA;NA;NA
P;Calamagrostis neglecta;9;9;4;2;0;NA;NA;NA;NA
P;Calendula officinalis;8;5;7;7;0;NA;NA;NA;NA
P;Callitriche brutia;8;9;5;5;0;NA;NA;NA;NA
P;Callitriche hamulata;7;11;6;5;0;NA;NA;NA;NA
P;Callitriche hermaphroditica;7;12;7;5;1;NA;NA;NA;NA
P;Callitriche obtusangula;7;11;7;6;1;NA;NA;NA;NA
P;Callitriche platycarpa;6;11;7;7;0;NA;NA;NA;NA
P;Callitriche stagnalis;7;10;6;6;1;NA;NA;NA;NA
P;Callitriche truncata;7;12;7;7;0;NA;NA;NA;NA
P;Calluna vulgaris;7;6;2;2;0;NA;NA;NA;NA
P;Caltha palustris;7;9;6;4;0;NA;NA;NA;NA
P;Calystegia pulchra;6;5;7;7;0;NA;NA;NA;NA
P;Calystegia sepium;7;8;7;7;1;NA;NA;NA;NA
P;Calystegia silvatica;5;5;7;6;0;NA;NA;NA;NA
P;Calystegia soldanella;9;4;7;4;3;NA;NA;NA;NA
P;Campanula glomerata;8;4;7;3;0;NA;NA;NA;NA
P;Campanula latifolia;4;5;7;6;0;NA;NA;NA;NA
P;Campanula patula;8;5;7;5;0;NA;NA;NA;NA
P;Campanula rapunculoides;6;4;7;5;0;NA;NA;NA;NA
P;Campanula rotundifolia;7;4;5;2;0;NA;NA;NA;NA
P;Campanula trachelium;4;5;7;6;0;NA;NA;NA;NA
P;Capsella bursa-pastoris;7;5;7;7;0;NA;NA;NA;NA
P;Cardamine amara;6;9;7;6;0;NA;NA;NA;NA
P;Cardamine bulbifera;3;5;7;6;0;NA;NA;NA;NA
P;Cardamine flexuosa;5;7;6;6;0;NA;NA;NA;NA
P;Cardamine hirsuta;8;5;6;6;0;NA;NA;NA;NA
P;Cardamine impatiens;6;5;8;7;0;NA;NA;NA;NA
P;Cardamine pratensis;7;8;5;4;0;NA;NA;NA;NA
P;Carduus crispus;7;4;8;7;0;NA;NA;NA;NA
P;Carduus nutans;7;4;8;5;0;NA;NA;NA;NA
P;Carduus tenuiflorus;8;4;7;4;0;NA;NA;NA;NA
P;Carex acuta;7;9;7;5;0;NA;NA;NA;NA
P;Carex acutiformis;7;8;7;6;0;NA;NA;NA;NA
P;Carex appropinquata;7;10;8;4;0;NA;NA;NA;NA
P;Carex aquatilis;8;10;4;3;0;NA;NA;NA;NA
P;Carex arenaria;8;3;5;2;1;NA;NA;NA;NA
P;Carex atrata;7;5;6;3;0;NA;NA;NA;NA
P;Carex atrofusca;8;9;7;3;0;NA;NA;NA;NA
P;Carex bigelowii;7;5;2;2;0;NA;NA;NA;NA
P;Carex binervis;7;6;3;2;0;NA;NA;NA;NA
P;Carex buxbaumii;8;8;7;2;0;NA;NA;NA;NA
P;Carex capillaris;9;6;8;2;0;NA;NA;NA;NA
P;Carex caryophyllea;7;4;7;2;0;NA;NA;NA;NA
P;Carex chordorrhiza;9;9;4;3;0;NA;NA;NA;NA
P;Carex canescens;8;9;3;2;0;NA;NA;NA;NA
P;Carex depauperata;5;4;7;4;0;NA;NA;NA;NA
P;Carex diandra;8;9;5;3;0;NA;NA;NA;NA
P;Carex digitata;5;5;8;4;0;NA;NA;NA;NA
P;Carex dioica;8;9;6;2;0;NA;NA;NA;NA
P;Carex distans;8;6;7;5;3;NA;NA;NA;NA
P;Carex disticha;7;8;6;4;0;NA;NA;NA;NA
P;Carex divisa;8;7;7;6;3;NA;NA;NA;NA
P;Carex divulsa;7;4;7;6;0;NA;NA;NA;NA
P;Carex echinata;8;8;3;2;0;NA;NA;NA;NA
P;Carex elata;7;10;7;5;0;NA;NA;NA;NA
P;Carex elongata;5;8;6;6;0;NA;NA;NA;NA
P;Carex ericetorum;8;4;7;1;0;NA;NA;NA;NA
P;Carex extensa;8;7;7;5;4;NA;NA;NA;NA
P;Carex filiformis;7;7;8;5;0;NA;NA;NA;NA
P;Carex flacca;7;5;6;2;0;NA;NA;NA;NA
P;Carex flava;7;9;8;2;0;NA;NA;NA;NA
P;Carex hirta;7;7;7;6;0;NA;NA;NA;NA
P;Carex hostiana;8;9;6;2;0;NA;NA;NA;NA
P;Carex humilis;8;3;8;2;0;NA;NA;NA;NA
P;Carex lachenalii;8;7;4;1;0;NA;NA;NA;NA
P;Carex laevigata;5;8;5;4;0;NA;NA;NA;NA
P;Carex lasiocarpa;8;10;6;3;0;NA;NA;NA;NA
P;Carex limosa;8;10;4;1;0;NA;NA;NA;NA
P;Carex paupercula;9;9;2;1;0;NA;NA;NA;NA
P;Carex maritima;9;8;7;2;3;NA;NA;NA;NA
P;Carex microglochin;9;9;8;2;0;NA;NA;NA;NA
