"","OBJECTID","SSBID","ANOID","RSIZE","ROW","COL","XCOOR","YCOOR","ANONUM","PakkeNr","Overvåkingsår","CountyNr","MunicNr","CountyName","Region.x","RegionNr","Kommune_OLD","Kommune","Fylke","Region.y","refs_blabar"
"175",187,26095007677000,"ANO0475",500,1433,2518,609750,7677250,475,1,2020,19,5421,"Troms nor 1","N",1,1927,"TRANØY","Troms","Nord-Norge",5
"176",187,26095007677000,"ANO0475",500,1433,2518,609750,7677250,475,1,2020,19,5421,"Troms nor 1","N",1,1928,"TORSKEN","Troms","Nord-Norge",5
"177",187,26095007677000,"ANO0475",500,1433,2518,609750,7677250,475,1,2020,19,5421,"Troms nor 1","N",1,1929,"BERG","Troms","Nord-Norge",5
"178",187,26095007677000,"ANO0475",500,1433,2518,609750,7677250,475,1,2020,19,5421,"Troms nor 1","N",1,1931,"LENVIK","Troms","Nord-Norge",5
"179",730,23145006715500,"ANO0485",500,843,595,314750,6715750,485,3,2020,4,3414,"Hedmark nor","E",5,418,"NORD-ODAL","Hedmark","Østlandet",12.5
"180",203,26050007689000,"ANO0505",500,1424,2542,605250,7689250,505,1,2020,19,5421,"Troms nor 1","N",1,1927,"TRANØY","Troms","Nord-Norge",5
"181",203,26050007689000,"ANO0505",500,1424,2542,605250,7689250,505,1,2020,19,5421,"Troms nor 1","N",1,1928,"TORSKEN","Troms","Nord-Norge",5
"182",203,26050007689000,"ANO0505",500,1424,2542,605250,7689250,505,1,2020,19,5421,"Troms nor 1","N",1,1929,"BERG","Troms","Nord-Norge",5
"183",203,26050007689000,"ANO0505",500,1424,2542,605250,7689250,505,1,2020,19,5421,"Troms nor 1","N",1,1931,"LENVIK","Troms","Nord-Norge",5
"184",86,28590007722500,"ANO0508",500,1932,2609,859250,7722750,508,1,2020,20,5430,"Finnmark nor 1","N",1,2011,"GUOVDAGEAIDNU_KAUTOKEINO","Finnmark","Nord-Norge",2.5
"185",265,30640007844500,"ANO0517",500,2342,2853,1064250,7844750,517,1,2020,20,5405,"Finnmark nor 1","N",1,2003,"VADSØ","Finnmark","Nord-Norge",2.5
